Genes	cor	pvalue	Diff_group	gene_upper	is_bcell	to_label	adjusted_pvalue
ABCF3	0.514039876355581	1.19388373354758e-09	Benign_Tumor	ABCF3	FALSE	FALSE	1.04451412261441e-08
ABCG1	0.298733403931694	0.000790025902866864	Benign_Tumor	ABCG1	FALSE	FALSE	0.00128949516668543
ABCG2	0.235527203582689	0.00872993328104951	Benign_Tumor	ABCG2	FALSE	FALSE	0.0112710372231623
ABHD1	0.296354666358841	0.000873879660931557	Benign_Tumor	ABHD1	FALSE	FALSE	0.00141288703900406
ABHD10	0.450340003955979	1.72902114342428e-07	Benign_Tumor	ABHD10	FALSE	FALSE	7.77535266143411e-07
ABHD11	0.398058621255048	5.12779544120799e-06	Benign_Tumor	ABHD11	FALSE	FALSE	1.50556482665784e-05
ABHD12	0.325678072999532	0.000237102215647612	Benign_Tumor	ABHD12	FALSE	FALSE	0.000440935371898765
ABHD13	0.195910700800188	0.0298813025699876	Benign_Tumor	ABHD13	FALSE	FALSE	0.0348466021358707
ABHD14A	0.412265677690666	2.1580010731727e-06	Benign_Tumor	ABHD14A	FALSE	FALSE	7.08102627739538e-06
ABHD14A-ACY1	0.185235121373034	0.0402506426305211	Benign_Tumor	ABHD14A-ACY1	FALSE	FALSE	0.0460526969131662
ABHD14B	0.485614838385799	1.24696261697394e-08	Benign_Tumor	ABHD14B	FALSE	FALSE	8.02317976515356e-08
ABHD15	0.570882168402569	5.41564671837739e-12	Benign_Tumor	ABHD15	FALSE	FALSE	9.21725315249083e-11
ABHD16A	0.469131018821025	4.42101573792581e-08	Benign_Tumor	ABHD16A	FALSE	FALSE	2.38974238412769e-07
ABHD17A	0.111271415610847	0.220474130711644	Benign_Tumor	ABHD17A	FALSE	FALSE	0.229631061902918
ABHD17B	0.335625847229223	0.00014767264831421	Benign_Tumor	ABHD17B	FALSE	FALSE	0.000290037350510429
ABHD17C	0.435662899898357	4.74566809372362e-07	Benign_Tumor	ABHD17C	FALSE	FALSE	1.86768484264741e-06
ABHD18	0.126454532176708	0.163398952245011	Benign_Tumor	ABHD18	FALSE	FALSE	0.172527756682592
ABHD2	0.373928649338372	2.04125453495303e-05	Benign_Tumor	ABHD2	FALSE	FALSE	5.06468409019536e-05
ABHD3	0.239672127303579	0.00758547157073151	Benign_Tumor	ABHD3	FALSE	FALSE	0.00993010665526243
ABHD4	0.443802154265974	2.726908963186e-07	Benign_Tumor	ABHD4	FALSE	FALSE	1.16091179015023e-06
ABHD5	0.330774673117854	0.000186403864140325	Benign_Tumor	ABHD5	FALSE	FALSE	0.000355525704379336
ABHD6	0.345030318705938	9.29803255020841e-05	Benign_Tumor	ABHD6	FALSE	FALSE	0.000192730282050307
ABHD8	0.17404712930309	0.0541932814184164	Benign_Tumor	ABHD8	FALSE	FALSE	0.0608034561620316
ABI1	0.195308602782483	0.0303988537217445	Benign_Tumor	ABI1	FALSE	FALSE	0.0353940313363803
ABI2	0.281889974765203	0.00158472942120556	Benign_Tumor	ABI2	FALSE	FALSE	0.00241503830941131
ABI3	0.401344631305237	4.21231559493894e-06	Benign_Tumor	ABI3	FALSE	FALSE	1.26393816493226e-05
ABI3BP	0.220385166809981	0.014308301827824	Benign_Tumor	ABI3BP	FALSE	FALSE	0.0177251757509111
ABITRAM	0.0833243326782847	0.359524963414245	Benign_Tumor	ABITRAM	FALSE	FALSE	0.368008561538717
ABL1	0.526396325324381	4.01833312627639e-10	Benign_Tumor	ABL1	FALSE	FALSE	4.01395136468905e-09
ABL2	0.421971182736786	1.16731987381047e-06	Benign_Tumor	ABL2	FALSE	FALSE	4.1343353183649e-06
ABLIM1	0.331856380024347	0.00017702897561412	Benign_Tumor	ABLIM1	FALSE	FALSE	0.000339683617205359
ABLIM2	0.299914602923721	0.000751187804514123	Benign_Tumor	ABLIM2	FALSE	FALSE	0.00123113530621958
ABLIM3	0.469542353664725	4.28701754324006e-08	Benign_Tumor	ABLIM3	FALSE	FALSE	2.33269476592863e-07
